OBJECTID,Object_ID,Código de Habilitación,Código del Prestador,Nombre de la IPS,Dirección,Número Identificación Tributaria,Número de Fax,Clase de Prestador,Clase de Persona,Naturaleza Jurídica,Número de Teléfono,Correo Electrónico,coord_x,coord_y
2,2,110010199501,1100101995,LABORATORIO DE OTONEUROLOGIA - INSTITUTO NACIONAL DE OTOLOGIA GARCIA GOMEZ SAS,"AV. CRA. 9 116 - 20 CS. 201, 219A, 219B.",800173625,6198079,Instituciones - IPS,Juridica,Privada,6122342,otolab@cable.net.co,,
6,6,110011023901,1100110239,CENTRO MEDICO MODELIA C.M.M,AV LUIS CARLOS GALAN CLL 24 # 80B-97,800008866,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
8,8,110010764602,1100107646,CENTRO AUDIOLOGICO Y QUIRURGICO DEL COUNTRY SAS SEDE CHAPINERO,CARRERA 16a Nª 82 - 75 -301,830113069,5300518,Instituciones - IPS,Juridica,Privada,5308159 - 5308247,administracion@caqc.co,,
9,9,110010918632,1100109186,CLINISANITAS DIAGNOSTICO ZONA IN,AC 13 N 65 -21,800149384,4917850,Instituciones - IPS,Juridica,Privada,2 606766,sfiguero@colsanitas.com,,
10,10,110011709301,1100117093,MISION SALUD INTERNACIONAL SAS CALLE 63,CL 63 N 22-22,900116722,312 72 96,Instituciones - IPS,Juridica,Privada,346 16 60,mision-salud@hotmail.com,,
14,14,110011792901,1100117929,ANDAR CALLE 80,AC 80 N 69 K 27,900123162,2251106,Instituciones - IPS,Juridica,Privada,6600800,andar_s.a@hotmail.com,,
17,17,110011960301,1100119603,VIHONCO IPS BOGOTA,AUTOP N No. 95-29,900098985,Sin Dato,Instituciones - IPS,Juridica,Privada,7464438,director.bogota@vihonco.com,,
18,18,110010857502,1100108575,CLINICA JOSE A RIVAS VIP,AK 19 N 100-28,800149169,6917407,Instituciones - IPS,Juridica,Privada,6163077,diradministrativa@clinicarivas.com,,
21,21,110012075501,1100120755,ARCHILA Y RICAURTE LTDA,AK 7 N 119-14 CS 302 P3,900327548,2152945,Instituciones - IPS,Juridica,Privada,2152945,archilayricaurte@gmail.com,,
25,25,110012258401,1100122584,CLINICA VIVA SAS,CALLE 67 # 9-55 piso 1,900414499,2129323,Instituciones - IPS,Juridica,Privada,3176379177-2129323,direccionclinica@clinicaviva.com.co,,
26,26,110010638201,1100106382,BRAQUITERAPIA MARLY LTDA,CARRRERA 9 No. 49 22 CS 206 BUNKER BQTX,830117403,2878154,Instituciones - IPS,Juridica,Privada,2887746,cbastidasjimenez@yahoo.com.mx,,
32,32,110012361801,1100123618,LECOGRAPHIE LTDA,CARERRA 19 C N° 90-14 CS 504,900202347,6104010,Instituciones - IPS,Juridica,Privada,6104010-3219960526,lecographie@gmail.com,,
38,38,110010919912,1100109199,JAVESALUD ALLIANZ,Carrera 19 N 102-31,830018305,6169833,Instituciones - IPS,Juridica,Privada,6169833,direccion@javesalud.com.co,,
40,40,110012685901,1100126859,cefert s.a.s,calle 116 n 9-72 consultorio 401 y 419,900689027,Sin Dato,Instituciones - IPS,Juridica,Privada,3012298675,rosepiga@yahoo.com,,
41,41,110011636904,1100116369,OPTICAS GMO COLOMBIA S.A.S.,AV CALLE 100 N 19 54 Local. 2,900108281,Sin Dato,Instituciones - IPS,Juridica,Privada,(57-1)5938860 EXT. 7041,jorge.ibague@co.luxottica.com,,
50,50,110010716103,1100107161,OPTICA ALEMANA COUNTRY,CARRERA 15 N 84-72,860000812,Sin Dato,Instituciones - IPS,Juridica,Privada,7043379 7043380,gerencia@opticaalemanash.com,,
51,51,110012947301,1100129473,CENTRO DE ATENCION EN DIABETES Y TECNOLOGIA S.A.S CADIT SAS,CALLE 83 NUMERO 16 A - 44 OF 501 CS 501-8 y 501-9,900662460,Sin Dato,Instituciones - IPS,Juridica,Privada,7037029-7037032 3118947852,consultoriocountry601@gmail.com,,
56,56,110012989101,1100129891,VITAL DRA. ALIA SANTANA,AK 15 NO. 93 - 60 LC 1 18,900683489,6169067,Instituciones - IPS,Juridica,Privada,6169067,aliahelena@hotmail.com,,
59,59,110012993701,1100129937,CERCARIPS SAS,CARRERA 18 No. 52 A 05,900870205,Sin Dato,Instituciones - IPS,Juridica,Privada,3104784409,cercarips@hotmail.com,,
60,60,110012995801,1100129958,OMAR RIVERA MENJURA MEDICINA ALTERNATIVA MEDICINA LABORAL S.A.S.,CALLE 24A NUMERO 74A - 25,900938062,Sin Dato,Instituciones - IPS,Juridica,Privada,7498166,doctor@doctoromarriveram.com,,
61,61,110012999701,1100129997,THERAPY AND TECHNOLOGY AT HOME - TTH SAS,CARRERA 45 A NO. 101 - 22 OFICINA 101,900964062,Sin Dato,Instituciones - IPS,Juridica,Privada,7551310 - 3227359777 - 3002018334,info@therapyth.com,,
64,64,110012233901,1100122339,VIVAMEDSPA SALITRE,KR 68 B # 24 39 LC 178 LC 180,900345013,Sin Dato,Instituciones - IPS,Juridica,Privada,8050588,mfh@grupo-viva.com,,
66,66,110013014501,1100130145,SERVICIOS Y ASESORIAS EN INFECTOLOGIA SAI SAS,CLL 50 No. 13-62 OF 704 Y OF 303-304-305-306-307,900028454,Sin Dato,Instituciones - IPS,Juridica,Privada,2485357 - 3114792618,adriana.molina@infectologia.com.co,,
69,69,110011897601,1100118976,IPS FERNANDO KUAN MEDINA,CL 70 N0 29-16 PISO 1,900147276,Sin Dato,Instituciones - IPS,Juridica,Privada,5405182-5403190,ipsfernandokuan@yahoo.com,,
73,73,110013026201,1100130262,HEALTHY KIDS SAS,CARRERA 52 # 67 A -71 CONSULTORIO 212,900885271,Sin Dato,Instituciones - IPS,Juridica,Privada,2501681 EXT 122,healthykidssas@gmail.com,,
83,83,110012285701,1100122857,IPS VIDAMEDICAL BOGOTA LA CASTELLANA,CARRERA 49 No 98A-17,900468665,Sin Dato,Instituciones - IPS,Juridica,Privada,3103006807,marcoantoniocardenasdiaz@yahoo.es,,
84,84,110011905301,1100119053,UNIDAD DE CUIDADO INTERMEDIO SANTA LUCIA SAS,CALLE 55 BIS No. 15 A - 05,900211561,4673129,Instituciones - IPS,Juridica,Privada,4673126,uccsantalucia@gmail.com,,
86,86,110013034501,1100130345,SALUD Y ATENCION A PERSONAS ADULTAS SAS SIGLA PERSADULT HOME SAS,CALLE 65 No 7 49 OF 101,900976655,3480919,Instituciones - IPS,Juridica,Privada,3480919 - 3165567763 - 3002000126,persadulthomesas@outlook.com,,
87,87,110013034601,1100130346,IPS COMERBAS,AV CARRERA 30 NO. 67- 59 PISO 1.,900402520,Sin Dato,Instituciones - IPS,Juridica,Privada,4002546,GERENCIA@COMERBAS.COM,,
88,88,110013043401,1100130434,Oncology & Genetics Group SAS Sigla: Onco-Genetics,Carrera 18 #84-11 Consultorio 702,900724514,Sin Dato,Instituciones - IPS,Juridica,Privada,7498920 3004437353,linaggiraldo@gmail.com,,
91,91,110010548028,1100105480,CENTRO DE INVESTIGACIÓN EUREKA,CR 19 Nº. 84-09,800233471,Sin Dato,Instituciones - IPS,Juridica,Privada,6056828 Ext 106,cjotero@servioftalmos.com,,
95,95,110012485602,1100124856,OFTALMOVER S.A.S,CLL 83No. 16 a - 44 Edificio CIMA OF. 401,900545277,NA,Instituciones - IPS,Juridica,Privada,5559598,calidad@oftalmover.co,,
97,97,110013060401,1100130604,GENESYS LABORAL MEDICINE SAS,CALLE 86A 23 12 P 1,900985408,Sin Dato,Instituciones - IPS,Juridica,Privada,3739055-3739387 - 3208555106,genesyslabmed@gmail.com,,
103,103,110013069601,1100130696,ATENCIÓN EN MEDICINA LABORAL SAS - SIGLA: ATMELA,calle 97 23- 37 consultorio 411,900900369,Sin Dato,Instituciones - IPS,Juridica,Privada,3164740633,rolando.melo@gmail.com,,
105,105,110012084003,1100120840,MIOCARDIO S.A.S CASTELLANA,CR 45 A N° 94 71,900328323,Sin Dato,Instituciones - IPS,Juridica,Privada,2095042,MIOCARDIOSAS@GMAIL.COM,,
106,106,110013070901,1100130709,FIT FOR ALL SEDE CHICO,CLL 94 N° 13 -11,900959761,Sin Dato,Instituciones - IPS,Juridica,Privada,3103442700,administracion@fitforall.com.co,,
114,114,110013077801,1100130778,FUNDASALUD GROUP S.A.S.,Calle 63 B # 77 A 08,900955826,Sin Dato,Instituciones - IPS,Juridica,Privada,2 233381 2 233266,claudia.perdomo@fundasaludips.com,,
120,120,110013051406,1100130514,SERVISALUD QCL CHAPINERO,CRA 13 51 11/87,900784482,2129974,Instituciones - IPS,Juridica,Privada,2129974 - 3203451609,servisaludqcl@gmail.com,,
124,124,110011243704,1100112437,RIESGO DE FRACTURA,Carrera 12#98-16,830027158,5922999,Instituciones - IPS,Juridica,Privada,6446800,calidad2@cayre.co,,
125,125,110011708703,1100117087,ORALMEDIC SEDE FONTIBON,CR 99 No. 20 - 34,900130447,Sin Dato,Instituciones - IPS,Juridica,Privada,2726484,gerencia@oralmendic.com.co,,
131,131,110012482618,1100124826,EPS SANITAS CENTRO MEDICO CASTELLANA,CR 49 B NO. 94 - 40,800251440,Sin Dato,Instituciones - IPS,Juridica,Privada,6466060 Ext 5710082,mnempeque@colsanitas.com,,
134,134,110010750846,1100107508,LABORATORIO BIOIMAGEN LTDA MONTEVIDEO,CL 17 N° 68 40,830016595,6601259,Instituciones - IPS,Juridica,Privada,300 6975519 6601258 EXT 118,GARANTIADECALIDAD@BIOIMAGEN.COM.CO,,
139,139,110011708704,1100117087,ORALMEDIC SEDE TABORA,AC 72 No. 83 - 54,900130447,Sin Dato,Instituciones - IPS,Juridica,Privada,2726484,gerencia@oralmedic.com.co,,
142,142,110010140102,1100101401,REHABILITAMOS LIMITADA,CALLE 84 # 19 A 05 CONS 812,800219532,Sin Dato,Instituciones - IPS,Juridica,Privada,6169363 / 2560084,rehabilitamos.fisioterapia@gmail.com,,
143,143,110013095101,1100130951,CENTRO DE MACULA GUSTAVO ALVIRA ESCOBAR SAS,CL 113 7 45 TO B OF 1417,900964335,Sin Dato,Instituciones - IPS,Juridica,Privada,6195003 - 3123682757,mariafgomez@centrodemacula.com,,
146,146,110010403512,1100104035,CENTRO MEDICO COLMEDICA SEDE CHAPINERO,CR 7 No. 52-53,830001007,3591040,Instituciones - IPS,Juridica,Privada,7565656 Ext 6557,edgarc@colmedica.com,,
149,149,110012123806,1100121238,BIENESTAR IPS SEDE FONTIBON,CALLE 25 G No 99 - 42,800223206,Sin Dato,Instituciones - IPS,Juridica,Privada,4873434-3176415695,directormedicobtasur@cecam-ips.com,,
153,153,110012123809,1100121238,BIENESTAR IPS SEDE BOSA,CRA 77 No 65A - 35,800223206,Sin Dato,Instituciones - IPS,Juridica,Privada,4873434-3176415695,directormedicobtasur@cecam-ips.com,,
157,157,110010138602,1100101386,ENDOCOUNTRY SAS SEDE 1,CARRERA 16 # 82 - 32 PISO 2 SALA DE PROCEDIMIENTOS 1 Y 2,830053449,Sin Dato,Instituciones - IPS,Juridica,Privada,5301349,administracion@endocountry.com,,
159,159,110010315506,1100103155,Sede Ambulatoria,CRA 16 No. 59-54,830090073,5557080,Instituciones - IPS,Juridica,Privada,5557080 EXT 1026,calidad@proseguir.org,,
163,163,110011992003,1100119920,CENTRO DE EXCELENCIA PARA EL MANEJO DE LA DIABETES S.A.S,CALLE 100 NO. 61 - 18,900274166,Sin Dato,Instituciones - IPS,Juridica,Privada,3902449,gerencia@cemdi.net.co,,
164,164,110011623715,1100116237,OPTISANITAS SUCURSAL 14 ZONA IN,CALLE 13 # 65 - 21 LOCAL 100-1 PUERTA 2,800185773,Sin Dato,Instituciones - IPS,Juridica,Privada,6466060 EXT 5718432,glpena@colsanitas.com,,
168,168,110012452602,1100124526,GENCELL PHARMA S.A.S Sede Polo,carrera 27 # 83 -16,900407111,Sin Dato,Instituciones - IPS,Juridica,Privada,7425961 - 3138689089,info@gencellpharma.com,,
170,170,110013092002,1100130920,Gaes Bogota Jasban,Calle 106 # 23 - 61 local 101,900913310,Sin Dato,Instituciones - IPS,Juridica,Privada,7433422,bogotajasban@gaes.co,,
171,171,110010822206,1100108222,EUSALUD LABORATORIO CLÍNICO,CL 97 N° 23-37 LOCAL 205,800227072,4320870,Instituciones - IPS,Juridica,Privada,4320870,presidencia@eusalud.com,,
174,174,110010085503,1100100855,OPTICALIA OPTIVISION CLL 72,CL 72 NO. 10-34 LC 113,860522344,Sin Dato,Instituciones - IPS,Juridica,Privada,6954421,subgerencia@optivision.com.co,,
177,177,110011912503,1100119125,AUDIOSALUD INTEGRAL LTDA,CALLE 119 NO 7-14 CONSULTORIO 301,900202290,3404777,Instituciones - IPS,Juridica,Privada,6209099,audiosaludintegral@gmail.com,,
179,179,110010003201,1100100032,COOPERATIVA PARA LA SALUD ORAL ORALCOOP,KR 64 # 100 55,830000001,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
180,180,110010010301,1100100103,INSTITUTO NACIONAL DEL RIÑON LTDA,CLL 43 # 25 - 61,800241339,Sin Dato,Instituciones - IPS,Juridica,Privada,5781717,clara_nino@baxter.com,,
183,183,110010013004,1100100130,SONRIA DAMA SALUD SEDE GALERIAS,TV 24 # 54 31,830108482,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
187,187,110010020301,1100100203,FUNDACION CEPYTIN,CRA 73 # 7 C 39,830111502,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
190,190,110010035601,1100100356,BIONUCLEAR,AK 45 # 106 30PI 2,800224466,Sin Dato,Instituciones - IPS,Juridica,Privada,6207838 - 7521203 - 6199405,bionuclearltda@hotmail.com,,
192,192,110010048301,1100100483,SALUD INTEGRAL EL LAGO LTDA,CALLE 79 No. 18 - 34 C- 506,830014375,6169576,Instituciones - IPS,Juridica,Privada,8056234,salinlago@netscape.net,,
196,196,110010051805,1100100518,OPTICA COLOMBIANA S.A. ÈXITO CALLE 80,CL 78 BIS 68 70,860001449,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
199,199,110010051810,1100100518,OPTICA COLOMBIANA S.A. CENTRO COMERCIAL ANDINO,KR 12 82 02 LC 208,860001449,6169651,Instituciones - IPS,Juridica,Privada,2369824,andino@opticacolombiana.com,,
200,200,110010061601,1100100616,GUTMEDICA ALMIRANTE,CRA 16 # 84 A 09 CONS 311,830027806,6427200,Instituciones - IPS,Juridica,Privada,6427200,abonilla@gutmedica.com,,
203,203,110010066101,1100100661,LITOMEDICA S.A,CRA 13 # 49 40 CONS 620 y Sala de Lithostar PI 2,800048880,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
207,207,110010059203,1100100592,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL,CL 93 No. 13 - 24 OF 304,860401032,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
210,210,110010073203,1100100732,OPTICA DR MENDEZ SAS,KR 7 # 115 60 LC B 112 - 160,860513677,Sin Dato,Instituciones - IPS,Juridica,Privada,6121940,optimendez@yahoo.com,,
211,211,110010073204,1100100732,OPTICA DR MENDEZ SAS,KR 19 # 100 10,860513677,6358141,Instituciones - IPS,Juridica,Privada,6358141,opticadrmendez@yahoo.es,,
212,212,110010099701,1100100997,"ASOCIACION CENTRO DE ATENCION PARA NIÑOS CON TRASTORNOS SENSORIOMOTORES """"ACONIÑO""""""",Cra 45A # 104B - 06,800175839,2566977,Instituciones - IPS,Juridica,Privada,2567115-2566977,administracion@aconino.com,,
214,214,110010085501,1100100855,OPTIVISION LTDA,CALLE 62 # 11 04 LOCAL 6,860522344,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
215,215,110010092301,1100100923,UNIDAD DERMATOLOGICA DE FOTOTERAPIA LTDA,CL 93 B # 13 92 CS 202,800207897,Sin Dato,Instituciones - IPS,Juridica,Privada,2566374,gerencia@udf.com.co,,
217,217,110010089001,1100100890,CARDIOVISION LIMITADA,CRA 16 # 82 29 CONS 501,830012241,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
218,218,110010105201,1100101052,PREGEN,KR 15 A # 106 42,800028714,Sin Dato,Instituciones - IPS,Juridica,Privada,6293877,Sin Dato,,
219,219,110010109401,1100101094,ANTHIROS CENTRO DE DESARROLLO INFANTIL LTDA,CL 70 A # 11 59,800047720,3178684,Instituciones - IPS,Juridica,Privada,3178683,aanthiros@yahoo.com,,
220,220,110010108501,1100101085,MEDICOS CARDIOLOGOS ASOCIADOS MEDICARDIA LTDA,CRA 16 # 82 74 CONS 417- 419,800081086,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
221,221,110010115801,1100101158,PATOLAB RX LTDA,KR 19 C # 90 14 CS 308 - 309,800145502,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
227,227,110010101004,1100101010,CENTRO MEDICO DEPORTIVO DE ACONDICIONAMIENTO FISICO BODYTECH-CHICO,AV 19 # 102 31 PISO 3,830033206,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
228,228,110010101005,1100101010,CENTRO MEDICO DEPORTIVO DE ACONDICIONAMIENTO FISICO BODYTECH-SALITRE,AV 68 # 23 45,830033206,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
232,232,110010140101,1100101401,REHABILITAMOS LTDA,AVENIDA 19 # 102-53 consultorio 301,800219532,2560084,Instituciones - IPS,Juridica,Privada,6169363,rehabilitamos.fisioterapia@gmail.com,,
234,234,110010143501,1100101435,CENTRO DE ANGIOLOGIA Y CIRUGIA VASCULAR LTDA,KR 13 # 49 40 OF 425,800232254,2327275,Instituciones - IPS,Juridica,Privada,2320052,cacvas@hotmail.com,,
235,235,110010144301,1100101443,CLINICA BARRAQUER,AV 100 No. 18 A 51,860006626,6104406,Instituciones - IPS,Juridica,Privada,2563285,gcalidad@barraquer.com.co,,
238,238,110010158001,1100101580,CLINICA BELANOVA S.A.S,CRA 18 # 85 36,830029865,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
239,239,110010157901,1100101579,SOCIEDAD PEDIATRICA DE LOS ANDES S.A.S - SPLA S.A.S,KR 19 # 84 - 73 /65,830071938,6107242,Instituciones - IPS,Juridica,Privada,6109298 6107242-3182702761,"spediatrica.gerencia@gmail.com,spediatrica.admon@gmail.com",,
240,240,110010162401,1100101624,MEDICANESTESIA S.A,Avenida 9 # 116 20 CS 722 - 728 - 740,860350624,6199375,Instituciones - IPS,Juridica,Privada,6122362,medicanestesia@ama.com.co,,
241,241,110010169301,1100101693,UNIDAD DE NEUROLOGIA LTDA,KR 16 # 84 A 09 CS 523,800236932,6217506,Instituciones - IPS,Juridica,Privada,6217517,unidaddeneurologia@gmail.com,,
242,242,110010253901,1100102539,CENTRO OFTALMOLOGICO DE LASER LTDA - COLASER LTDA,CL 93 # 15 51 OF 310 y 206-1,800146271,6185321,Instituciones - IPS,Juridica,Privada,6185414,colaserltda@hotmail.com,,
248,248,110010175101,1100101751,AF MEDICINA DEPORTIVA,calle 106a No 19 28,830113969,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
250,250,110010181401,1100101814,CENTRO DE ENFERMEDADES MAMARIAS LTDA,CRA 16 # 82 51 Cons 503 y pisos 6 Y 7,800153488,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
251,251,110010182401,1100101824,INSTITUTO OFTALMOLOGICO SALAMANCA S.A IOSAL,CRA 18 # 79 32,830053297,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
252,252,110010181301,1100101813,CENTRO NEUROLOGICO DE BOGOTA LIMITADA,Carrera 16 No.82-95 Consultorio 606,860353671,2565923,Instituciones - IPS,Juridica,Privada,6108069,cneurologico@hotmail.com,,
253,253,110010196901,1100101969,FISIOTERAPIA AVANZADA S.A.S,AVENIDA CRA 45 No. 104-60 INTERIOR 2,830089444,6377276,Instituciones - IPS,Juridica,Privada,PBX 6373133,fisioavanzada@cable.net.co,,
255,255,110010184701,1100101847,INSTITUTO AMERICANO DE OFTALMOLOGIA,KR 15 # 88-20 PISO 2,800229839,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
261,261,110010233401,1100102334,RADIOLOGIA Y MEDICINA NUCLEAR DE LA SABANA,AK 7 # 119 14 CONS 110,800033745,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
263,263,110010240401,1100102404,IDIME S.A SEDE LAGO,CALLE 76 # 13 46,800065396,Sin Dato,Instituciones - IPS,Juridica,Privada,3438770,contabilidad@idime.com.co,,
271,271,110010235101,1100102351,SOCIEDAD DE ANESTESIOLOGOS DEL COUNTRY S.A.,Carrera 16 82-51 CONSULTORIO 402,860032625,Sin Dato,Instituciones - IPS,Juridica,Privada,6183426,sacountrysa@yahoo.com,,
276,276,110010289401,1100102894,CIRULASER ANDES S.A,AV 9 # 116 20 LC 108 CS 312,800112384,Sin Dato,Instituciones - IPS,Juridica,Privada,6373911 - 3134114971,administracion@cirulaserandes.net,,
277,277,110010289301,1100102893,UNIDAD CONTRA EL CANCER S.A,CRA 16 A # 85 92 PI 1,830025806,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
279,279,110010292901,1100102929,INPAT INVESTIGACIONES EN PATOLOGIA LTDA,CL 83 # 19 36 CS 504,830074609,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
281,281,110010289101,1100102891,CENTRO UROLOGICO LTDA,CRA 13 # 49 40 CONS 203,860008884,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
284,284,110010391601,1100103916,FUNDACION OFTALMOLOGICA NACIONAL,CALLE 50 # 13 50,860048656,3487330,Instituciones - IPS,Juridica,Privada,3487349,DJVEGA@FON.ORG.CO,,
285,285,110010311301,1100103113,PANORAMAX LTDA,CALLE 49 # 9 21,800174947,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,info@panoramaxltda.net,,
292,292,110010311901,1100103119,CAJA DE COMPENSACION FAMILIAR DE CUNDINAMARCA COMFACUNDI SEDE CHAPINERO,CALLE 53 NO. 10-39,860045904,3 48 11 24,Instituciones - IPS,Juridica,Privada,3 48 13 78,luzamparoru yahoo.es,,
293,293,110010316101,1100103161,CORPORACION OTOLOGIA INVESTIGACION REHABILITACION OIR,CRA 24 # 85 29,860079711,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
295,295,110010327001,1100103270,SERVICIO DE INMUNOANALISIS DE BOGOTA LTDA-SIB LAB LTDA,CALLE 50 # 8 24 CONS 306 307,800123007,Sin Dato,Instituciones - IPS,Juridica,Privada,Sin Dato,Sin Dato,,
