RAZON SOCIAL;SEDE;DIRECCIÓN;IPSTELEFON;CORREO;TIPO DE IPS
Ópticas GMO Colombia S.A.S;Optica GMO Colombia SAS;CLL 185 # 45-03 LC 2126 y 2127;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S;KR 13 # 58 82;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;KR 68 B # 24 39 LC 2-60;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;KR 68 B # 24 39 LC 2-28;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;CL 72 # 9 29;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;CL 20 # 82-52 LC 1-123;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;CL 81 # 13 05 LC 004;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;KR 11 # 84 09 LC 7;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;KR 15 # 84 36;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;KR 15 # 93 60 LC 117;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;AC 100 # 19 54 LC 2;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;AK 72 # 80 94 LC 2-014 2-014A;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;KR 15 # 124 30 LC 1-180;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;CL 140 # 12 B 61 INT 1 Y 2;5938860;servicio.cliente@co.luxottica.com;Privada
Ópticas GMO Colombia S.A.S;Opticas GMO Colombia S.A.S.;AV 19 # 138 18;5938860;servicio.cliente@co.luxottica.com;Privada
1212 SAS;Rada Cassab Zona Rosa;KR 14 A # 82 26;7435400;corporal.zonarosa@radacassab.org;Privada
3D Diagnóstico Dentofacial Digital  Ltda;3D Diagnóstico Dentofacial Digital  Ltda;cl 93 19 b 66 of 205;6214339;centroradiologico@rxddd.com;Privada
A & B Ortodontic SAS;A & B Ortodontic;CL 161 # 16 A 26;26710777;harrybboi@msm.com;Privada
A & G Endo Vascular Ltda;A & G Endo Vascular Ltda;KR 7 # 82 66 CS 220;2569989;angelapov@gmail.com;Privada
A&V Clínicas Odontológicas SAS;A&V Clínicas Odontológicas SAS;CL 44 # 72 B 38 SUR;7283082;adyvelandia@hotmail.com;Privada
